task_name,planned_start,planned_end,actual_start,actual_end,float_days,is_critical
Site Clearance,2024-01-01,2024-01-10,2024-01-01,2024-01-12,0,1
Foundation Excavation,2024-01-11,2024-01-25,2024-01-13,2024-02-01,0,1
Concrete Pouring,2024-01-26,2024-02-10,2024-02-02,2024-02-20,2,1
Steel Erection,2024-02-11,2024-03-01,2024-02-21,2024-03-10,1,1
Roofing,2024-03-02,2024-03-20,2024-03-11,2024-03-22,3,0
MEP Rough-in,2024-03-21,2024-04-10,2024-03-23,2024-04-08,2,0
Plastering,2024-04-11,2024-04-30,2024-04-11,2024-04-28,4,0
Tiling,2024-05-01,2024-05-20,2024-05-01,2024-05-22,3,0
Painting,2024-05-21,2024-06-05,2024-05-23,2024-06-10,2,0
Finishing,2024-06-06,2024-06-20,2024-06-11,2024-06-25,0,1
